1,Auvergne-Rhône-Alpes,FRA
2,Bourgogne-Franche-Comté,FRA
3,Brittany,FRA
4,Centre-Val de Loire,FRA
5,Corsica,FRA
6,Grand Est,FRA
7,Hauts-de-France,FRA
8,Paris Region,FRA
9,Normandie,FRA
10,Nouvelle-Aquitaine,FRA
11,Occitanie,FRA
12,Pays de la Loire,FRA
13,Provence Alpes Côte d’Azur,FRA
